iteration,primary_purpose,autoWorkRatio,mode,tripTotals,tripPercents
1,atwork,auto_deficient,bike,93,3.232533889468196
1,atwork,auto_deficient,bike_transit,21,0.7299270072992701
1,atwork,auto_deficient,car,1250,43.44803614876608
1,atwork,auto_deficient,drive_transit,6,0.20855057351407716
1,atwork,auto_deficient,hov2,360,12.51303441084463
1,atwork,auto_deficient,hov3,262,9.10670837678137
1,atwork,auto_deficient,ride_hail,4,0.13903371567605144
1,atwork,auto_deficient,walk,573,19.91657977059437
1,atwork,auto_deficient,walk_transit,308,10.70559610705596
1,atwork,auto_sufficient,bike,506,1.9700214132762313
1,atwork,auto_sufficient,bike_transit,86,0.33482577379793654
1,atwork,auto_sufficient,car,17908,69.72162740899358
1,atwork,auto_sufficient,drive_transit,49,0.19077282460580106
1,atwork,auto_sufficient,hov2,1934,7.529686587502433
1,atwork,auto_sufficient,hov3,1510,5.878917656219584
1,atwork,auto_sufficient,ride_hail,14,0.054506521315943156
1,atwork,auto_sufficient,ride_hail_pooled,10,0.03893322951138797
1,atwork,auto_sufficient,walk,2616,10.184932840179092
1,atwork,auto_sufficient,walk_transit,1052,4.095775744598015
1,atwork,no_auto,bike,218,3.3181126331811264
1,atwork,no_auto,bike_transit,127,1.9330289193302892
1,atwork,no_auto,hov2,997,15.17503805175038
1,atwork,no_auto,hov3,673,10.243531202435312
1,atwork,no_auto,ride_hail,88,1.339421613394216
1,atwork,no_auto,ride_hail_pooled,2,0.030441400304414005
1,atwork,no_auto,walk,1847,28.112633181126334
1,atwork,no_auto,walk_transit,2618,39.847792998477935
1,eatout,auto_deficient,bike,75,6.297229219143577
1,eatout,auto_deficient,bike_transit,16,1.343408900083963
1,eatout,auto_deficient,car,338,28.379513014273723
1,eatout,auto_deficient,hov2,132,11.083123425692696
1,eatout,auto_deficient,hov3,163,13.685978169605374
1,eatout,auto_deficient,ride_hail,5,0.41981528127623846
1,eatout,auto_deficient,walk,343,28.79932829554996
1,eatout,auto_deficient,walk_transit,119,9.991603694374476
1,eatout,auto_sufficient,bike,489,2.828715219529126
1,eatout,auto_sufficient,bike_transit,156,0.9024122172730954
1,eatout,auto_sufficient,car,9022,52.189506565627354
1,eatout,auto_sufficient,drive_transit,13,0.07520101810609128
1,eatout,auto_sufficient,hov2,1468,8.491930352287847
