model,tourType,variable,alternative,units,latentClass,value
modeChoice,mandatory,asc,bike,util,work,0.001
modeChoice,mandatory,asc,bike,util,Work,0.001
modeChoice,mandatory,asc,bike,util,univ,0.002
modeChoice,mandatory,asc,bike,util,school,0.003
modeChoice,mandatory,asc,bike,util,escort,0.004
modeChoice,mandatory,asc,bike,util,shopping,0.005
modeChoice,mandatory,asc,bike,util,eatout,0.006
modeChoice,mandatory,asc,bike,util,othmaint,0.007
modeChoice,mandatory,asc,bike,util,social,0.008
modeChoice,mandatory,asc,bike,util,othdiscr,0.009
modeChoice,mandatory,asc,bike,util,atwork,0.01
modeChoice,mandatory,asc,bike,util,Nonwork,0.25
modeChoice,mandatory,asc,car,util,work,1.5
modeChoice,mandatory,asc,car,util,Work,1.5
modeChoice,mandatory,asc,car,util,univ,1.5
modeChoice,mandatory,asc,car,util,school,1.5
modeChoice,mandatory,asc,car,util,escort,1.5
modeChoice,mandatory,asc,car,util,shopping,1.5
modeChoice,mandatory,asc,car,util,eatout,1.5
modeChoice,mandatory,asc,car,util,othmaint,1.5
modeChoice,mandatory,asc,car,util,social,1.5
modeChoice,mandatory,asc,car,util,othdiscr,1.5
modeChoice,mandatory,asc,car,util,atwork,1.5
modeChoice,mandatory,asc,car,util,Nonwork,1.5
modeChoice,mandatory,asc,drive_transit,util,work,-0.355
modeChoice,mandatory,asc,drive_transit,util,Work,-0.355
modeChoice,mandatory,asc,drive_transit,util,univ,0.322
modeChoice,mandatory,asc,drive_transit,util,school,0.322
modeChoice,mandatory,asc,drive_transit,util,escort,0.755
modeChoice,mandatory,asc,drive_transit,util,shopping,0.665
modeChoice,mandatory,asc,drive_transit,util,eatout,0.666
modeChoice,mandatory,asc,drive_transit,util,othmaint,0.667
modeChoice,mandatory,asc,drive_transit,util,social,0.668
modeChoice,mandatory,asc,drive_transit,util,othdiscr,0.669
modeChoice,mandatory,asc,drive_transit,util,atwork,0.7
modeChoice,mandatory,asc,drive_transit,util,Nonwork,0.7123
modeChoice,mandatory,asc,ride_hail,util,work,0.1
modeChoice,mandatory,asc,ride_hail,util,Work,0.1
modeChoice,mandatory,asc,ride_hail,util,univ,0.2
modeChoice,mandatory,asc,ride_hail,util,school,0.3
modeChoice,mandatory,asc,ride_hail,util,escort,0.4
modeChoice,mandatory,asc,ride_hail,util,shopping,0.5
modeChoice,mandatory,asc,ride_hail,util,eatout,0.6
modeChoice,mandatory,asc,ride_hail,util,othmaint,0.7
modeChoice,mandatory,asc,ride_hail,util,social,0.8
modeChoice,mandatory,asc,ride_hail,util,othdiscr,0.9
modeChoice,mandatory,asc,ride_hail,util,atwork,1
modeChoice,mandatory,asc,ride_hail,util,Nonwork,0.01
modeChoice,mandatory,asc,walk,util,work,0.443
modeChoice,mandatory,asc,walk,util,Work,0.443
modeChoice,mandatory,asc,walk,util,univ,-1.031
modeChoice,mandatory,asc,walk,util,school,-1.183
modeChoice,mandatory,asc,walk,util,escort,-0.997
modeChoice,mandatory,asc,walk,util,shopping,-0.194
modeChoice,mandatory,asc,walk,util,eatout,1.35
modeChoice,mandatory,asc,walk,util,othmaint,0.725
modeChoice,mandatory,asc,walk,util,social,-0.765
modeChoice,mandatory,asc,walk,util,othdiscr,-0.5
modeChoice,mandatory,asc,walk,util,atwork,0.517
modeChoice,mandatory,asc,walk,util,Nonwork,0.57
modeChoice,mandatory,asc,walk_transit,util,work,0
modeChoice,mandatory,asc,walk_transit,util,Work,-0.25
modeChoice,mandatory,asc,walk_transit,util,univ,-0.25
modeChoice,mandatory,asc,walk_transit,util,school,-0.25
modeChoice,mandatory,asc,walk_transit,util,escort,0
modeChoice,mandatory,asc,walk_transit,util,shopping,-0.25
modeChoice,mandatory,asc,walk_transit,util,eatout,0
modeChoice,mandatory,asc,walk_transit,util,othmaint,-0.25
modeChoice,mandatory,asc,walk_transit,util,social,-0.25
modeChoice,mandatory,asc,walk_transit,util,othdiscr,-0.25
modeChoice,mandatory,asc,walk_transit,util,atwork,0
modeChoice,mandatory,asc,walk_transit,util,Nonwork,0
modeChoice,mandatory,cost,bike,util/$,work,0
modeChoice,mandatory,cost,bike,util/$,Work,0
modeChoice,mandatory,cost,bike,util/$,univ,0
modeChoice,mandatory,cost,bike,util/$,school,0
modeChoice,mandatory,cost,bike,util/$,escort,0
modeChoice,mandatory,cost,bike,util/$,shopping,0
modeChoice,mandatory,cost,bike,util/$,eatout,0
modeChoice,mandatory,cost,bike,util/$,othmaint,0
modeChoice,mandatory,cost,bike,util/$,social,0
modeChoice,mandatory,cost,bike,util/$,othdiscr,0
modeChoice,mandatory,cost,bike,util/$,atwork,0
modeChoice,mandatory,cost,bike,util/$,Nonwork,0
modeChoice,mandatory,cost,car,util/$,work,-1
modeChoice,mandatory,cost,car,util/$,Work,-1
modeChoice,mandatory,cost,car,util/$,univ,-1
modeChoice,mandatory,cost,car,util/$,school,-1
modeChoice,mandatory,cost,car,util/$,escort,-1
modeChoice,mandatory,cost,car,util/$,shopping,-1
modeChoice,mandatory,cost,car,util/$,eatout,-1
modeChoice,mandatory,cost,car,util/$,othmaint,-1
modeChoice,mandatory,cost,car,util/$,social,-1
modeChoice,mandatory,cost,car,util/$,othdiscr,-1
modeChoice,mandatory,cost,car,util/$,atwork,-1
modeChoice,mandatory,cost,car,util/$,Nonwork,-1
modeChoice,mandatory,cost,drive_transit,util/$,work,-2
modeChoice,mandatory,cost,drive_transit,util/$,Work,-2
modeChoice,mandatory,cost,drive_transit,util/$,univ,-2
modeChoice,mandatory,cost,drive_transit,util/$,school,-2
modeChoice,mandatory,cost,drive_transit,util/$,escort,-2
modeChoice,mandatory,cost,drive_transit,util/$,shopping,-2
modeChoice,mandatory,cost,drive_transit,util/$,eatout,-2
modeChoice,mandatory,cost,drive_transit,util/$,othmaint,-2
modeChoice,mandatory,cost,drive_transit,util/$,social,-2
modeChoice,mandatory,cost,drive_transit,util/$,othdiscr,-2
modeChoice,mandatory,cost,drive_transit,util/$,atwork,-2
modeChoice,mandatory,cost,drive_transit,util/$,Nonwork,-2
modeChoice,mandatory,cost,ride_hail,util/$,work,-2
modeChoice,mandatory,cost,ride_hail,util/$,Work,-2
modeChoice,mandatory,cost,ride_hail,util/$,univ,-2
modeChoice,mandatory,cost,ride_hail,util/$,school,-2
modeChoice,mandatory,cost,ride_hail,util/$,escort,-2
modeChoice,mandatory,cost,ride_hail,util/$,shopping,-2
modeChoice,mandatory,cost,ride_hail,util/$,eatout,-2
modeChoice,mandatory,cost,ride_hail,util/$,othmaint,-2
modeChoice,mandatory,cost,ride_hail,util/$,social,-2
modeChoice,mandatory,cost,ride_hail,util/$,othdiscr,-2
modeChoice,mandatory,cost,ride_hail,util/$,atwork,-2
modeChoice,mandatory,cost,ride_hail,util/$,Nonwork,-2
modeChoice,mandatory,cost,walk,util/$,work,0
modeChoice,mandatory,cost,walk,util/$,Work,0
modeChoice,mandatory,cost,walk,util/$,univ,0
modeChoice,mandatory,cost,walk,util/$,school,0
modeChoice,mandatory,cost,walk,util/$,escort,0
modeChoice,mandatory,cost,walk,util/$,shopping,0
modeChoice,mandatory,cost,walk,util/$,eatout,0
modeChoice,mandatory,cost,walk,util/$,othmaint,0
modeChoice,mandatory,cost,walk,util/$,social,0
modeChoice,mandatory,cost,walk,util/$,othdiscr,0
modeChoice,mandatory,cost,walk,util/$,atwork,0
modeChoice,mandatory,cost,walk,util/$,Nonwork,0
modeChoice,mandatory,cost,walk_transit,util/$,work,-2
modeChoice,mandatory,cost,walk_transit,util/$,Work,-2
modeChoice,mandatory,cost,walk_transit,util/$,univ,-2
modeChoice,mandatory,cost,walk_transit,util/$,school,-2
modeChoice,mandatory,cost,walk_transit,util/$,escort,-2
modeChoice,mandatory,cost,walk_transit,util/$,shopping,-2
modeChoice,mandatory,cost,walk_transit,util/$,eatout,-2
modeChoice,mandatory,cost,walk_transit,util/$,othmaint,-2
modeChoice,mandatory,cost,walk_transit,util/$,social,-2
modeChoice,mandatory,cost,walk_transit,util/$,othdiscr,-2
modeChoice,mandatory,cost,walk_transit,util/$,atwork,-2
modeChoice,mandatory,cost,walk_transit,util/$,Nonwork,-2
modeChoice,mandatory,vehicleTime,bike,util/sec,work,0
modeChoice,mandatory,vehicleTime,bike,util/sec,Work,0
modeChoice,mandatory,vehicleTime,bike,util/sec,univ,0
modeChoice,mandatory,vehicleTime,bike,util/sec,school,0
modeChoice,mandatory,vehicleTime,bike,util/sec,escort,0
modeChoice,mandatory,vehicleTime,bike,util/sec,shopping,0
modeChoice,mandatory,vehicleTime,bike,util/sec,eatout,0
modeChoice,mandatory,vehicleTime,bike,util/sec,othmaint,0
modeChoice,mandatory,vehicleTime,bike,util/sec,social,0
modeChoice,mandatory,vehicleTime,bike,util/sec,othdiscr,0
modeChoice,mandatory,vehicleTime,bike,util/sec,atwork,0
modeChoice,mandatory,vehicleTime,bike,util/sec,Nonwork,0
modeChoice,mandatory,vehicleTime,car,util/sec,work,-0.022
modeChoice,mandatory,vehicleTime,car,util/sec,Work,-0.022
modeChoice,mandatory,vehicleTime,car,util/sec,univ,-0.027
modeChoice,mandatory,vehicleTime,car,util/sec,school,-0.027
modeChoice,mandatory,vehicleTime,car,util/sec,escort,-0.028
modeChoice,mandatory,vehicleTime,car,util/sec,shopping,-0.028
modeChoice,mandatory,vehicleTime,car,util/sec,eatout,-0.028
modeChoice,mandatory,vehicleTime,car,util/sec,othmaint,-0.028
modeChoice,mandatory,vehicleTime,car,util/sec,social,-0.028
modeChoice,mandatory,vehicleTime,car,util/sec,othdiscr,-0.028
modeChoice,mandatory,vehicleTime,car,util/sec,atwork,-0.028
modeChoice,mandatory,vehicleTime,car,util/sec,Nonwork,-0.028
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,work,-0.022
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,Work,-0.022
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,univ,-0.027
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,school,-0.027
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,escort,-0.028
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,shopping,-0.028
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,eatout,-0.028
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,othmaint,-0.028
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,social,-0.028
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,othdiscr,-0.028
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,atwork,-0.028
modeChoice,mandatory,vehicleTime,drive_transit,util/sec,Nonwork,-0.028
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,work,-0.022
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,Work,-0.022
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,univ,-0.027
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,school,-0.027
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,escort,-0.028
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,shopping,-0.028
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,eatout,-0.028
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,othmaint,-0.028
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,social,-0.028
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,othdiscr,-0.028
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,atwork,-0.028
modeChoice,mandatory,vehicleTime,ride_hail,util/sec,Nonwork,-0.028
modeChoice,mandatory,vehicleTime,walk,util/sec,work,0
modeChoice,mandatory,vehicleTime,walk,util/sec,Work,0
modeChoice,mandatory,vehicleTime,walk,util/sec,univ,0
modeChoice,mandatory,vehicleTime,walk,util/sec,school,0
modeChoice,mandatory,vehicleTime,walk,util/sec,escort,0
modeChoice,mandatory,vehicleTime,walk,util/sec,shopping,0
modeChoice,mandatory,vehicleTime,walk,util/sec,eatout,0
modeChoice,mandatory,vehicleTime,walk,util/sec,othmaint,0
modeChoice,mandatory,vehicleTime,walk,util/sec,social,0
modeChoice,mandatory,vehicleTime,walk,util/sec,othdiscr,0
modeChoice,mandatory,vehicleTime,walk,util/sec,atwork,0
modeChoice,mandatory,vehicleTime,walk,util/sec,Nonwork,0
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,work,-0.022
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,Work,-0.022
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,univ,-0.027
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,school,-0.027
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,escort,-0.028
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,shopping,-0.028
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,eatout,-0.028
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,othmaint,-0.028
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,social,-0.028
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,othdiscr,-0.028
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,atwork,-0.028
modeChoice,mandatory,vehicleTime,walk_transit,util/sec,Nonwork,-0.028
modeChoice,mandatory,waitTime,bike,util/sec,work,0
modeChoice,mandatory,waitTime,bike,util/sec,Work,0
modeChoice,mandatory,waitTime,bike,util/sec,univ,0
