Variable Work College School Escort Shop Eat_Out Maint. Social Discr. At-Work
ivtt_auto_bus -0.013 -0.022 -0.022 -0.018 -0.018 -0.018 -0.018 -0.018 -0.018 -0.019
ivtt_light_rail -0.012 -0.020 -0.020 -0.016 -0.016 -0.016 -0.016 -0.016 -0.016 -0.017
ivtt_ferry -0.011 -0.018 -0.018 -0.014 -0.014 -0.014 -0.014 -0.014 -0.014 -0.015
ivtt_express_rail -0.013 -0.022 -0.022 -0.018 -0.018 -0.018 -0.018 -0.018 -0.018 -0.019
ivtt_heavy_rail -0.011 -0.018 -0.018 -0.014 -0.014 -0.014 -0.014 -0.014 -0.014 -0.015
wait_time_under_10_min -0.027 -0.045 -0.045 -0.035 -0.035 -0.035 -0.035 -0.035 -0.035 -0.038
wait_time_over_10_min -0.013 -0.022 -0.022 -0.018 -0.018 -0.018 -0.018 -0.018 -0.018 -0.019
egress_time -0.027 -0.045 -0.045 -0.035 -0.035 -0.035 -0.035 -0.035 -0.035 -0.038
transfer_time -0.027 -0.045 -0.045 -0.035 -0.035 -0.035 -0.035 -0.035 -0.035 -0.038
origin_close_to_transit_walk-transit -0.179 -0.299 -0.299 -0.233 -0.233 -0.233 -0.233 -0.233 -0.233 -0.251
origin_far_from_transit_walk-transit -0.536 -0.896 -0.896 -0.700 -0.700 -0.700 -0.700 -0.700 -0.700 -0.752
destination_close_to_transit_transit -0.179 -0.299 -0.299 -0.233 -0.233 -0.233 -0.233 -0.233 -0.233 -0.251
destination_far_from_transit_transit -0.536 -0.896 -0.896 -0.700 -0.700 -0.700 -0.700 -0.700 -0.700 -0.752
transfer_number_walk_transit -0.134 -0.224 -0.224 -0.175 -0.175 -0.175 -0.175 -0.175 -0.175 -0.188
transfer_number_drive_transit -0.268 -0.448 -0.448 -0.350 -0.350 -0.350 -0.350 -0.350 -0.350 -0.376
walk_short_dist -0.536 -0.896 -0.896 -0.700 -0.700 -0.700 -0.700 -0.700 -0.700 -0.752
walk_long_dist -2.680 -4.480 -4.480 -3.500 -3.500 -3.500 -3.500 -3.500 -3.500 -3.760
bike_short_dist -0.268 -0.448 -0.448 -0.350 -0.350 -0.350 -0.350 -0.350 -0.350 -0.376
bike_long_dist -1.340 -2.240 -2.240 -1.750 -1.750 -1.750 -1.750 -1.750 -1.750 -1.880
zti_walk -0.201 -0.336 -0.336 -0.263 -0.263 -0.263 -0.263 -0.263 -0.263 -0.141
zti_bike -0.268 -0.448 -0.448 -0.350 -0.350 -0.350 -0.350 -0.350 -0.350 -0.188
zti_transit -0.029 -0.049 -0.049 -0.039 -0.039 -0.039 -0.039 -0.039 -0.039 -0.038
zdi_dest 0.003 0.004 0.004 0.004 0.004 0.004 0.004 0.004 0.004 0.004
zdi_origin 0.0 0.0 0.0 0.002 0.011 0.002 0.002 0.002 0.002 0.002
age1619 0.0 -1.381 -1.381 0.0 0.0 0.0 0.0 0.0 0.0 -0.172
age010  0.0 -1.555 -1.555 0.0 0.0 0.0 0.0 0.0 0.0 -0.038
age16P 0.0 0.0 0.0 -1.366 -1.366 -1.366 -1.366 -1.366 -1.366 0.0
hhsize1 -0.735 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
hhsize2 0.0 -0.636 -0.636 0.0 0.0 0.0 0.0 0.0 0.0 0.0
cbd_dest_walk_transit 0.804 0.672 0.672 0.525 0.525 0.525 0.525 0.525 0.525 0.564
cbd_dest_drive_transit 1.100 0.672 0.672 0.525 0.525 0.525 0.525 0.525 0.525 0.564
miles_less_15 -0.241 -0.241 -0.241 -0.241 -0.241 -0.241 -0.241 -0.241 -0.241 -0.241
