Variable, Work, College, School, Escort, Shop, Eat Out, Maint., Social, Discr., At-Work
ivtt_auto_bus, -0.022, -0.027, -0.027, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028
ivtt_light_rail, -0.02, -0.024, -0.024, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025
ivtt_ferry, -0.018, -0.022, -0.022, -0.022, -0.022, -0.022, -0.022, -0.022, -0.022, -0.022
ivtt_express_rail, -0.018, -0.018, -0.018, -0.018, -0.018, -0.018, -0.018, -0.018, -0.018, -0.018
ivtt_heavy_rail, -0.018, -0.022, -0.022, -0.022, -0.022, -0.022, -0.022, -0.022, -0.022, -0.022
wait_time_under_10_min, -0.044, -0.054, -0.054, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056
wait_time_over_10_min, -0.022, -0.027, -0.027, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028
egress_time, -0.044, -0.054, -0.054, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056
transfer_time, -0.044, -0.054, -0.054, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056
origin_close_to_transit_walk-transit, -0.293, -0.362, -0.362, -0.372, -0.372, -0.372, -0.372, -0.372, -0.372, -0.372
origin_far_from_transit_walk-transit, -0.88, -1.085, -1.085, -1.117, -1.117, -1.117, -1.117, -1.117, -1.117, -1.117
destination_close_to_transit_transit, -0.293, -0.362, -0.362, -0.372, -0.372, -0.372, -0.372, -0.372, -0.372, -0.372
destination_far_from_transit_transit, -0.88, -1.085, -1.085, -1.117, -1.117, -1.117, -1.117, -1.117, -1.117, -1.117
transfer_number_walk_transit, -0.11, -0.136, -0.136, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14
transfer_number_drive_transit, -0.33, -0.407, -0.407, -0.419, -0.419, -0.419, -0.419, -0.419, -0.419, -0.419
walk_short_dist, -0.88, -1.084, -1.084, -1.116, -1.116, -1.116, -1.116, -1.116, -1.116, -1.116
walk_long_dist, -4.4, -5.42, -5.42, -5.58, -5.58, -5.58, -5.58, -5.58, -5.58, -5.58
bike_short_dist, -0.44, -0.542, -0.542, -0.558, -0.558, -0.558, -0.558, -0.558, -0.558, -0.558
bike_long_dist, -2.2, -2.71, -2.71, -2.79, -2.79, -2.79, -2.79, -2.79, -2.79, -2.79
zonal_topography_index_walk, -0.33, -0.407, -0.407, -0.419, -0.419, -0.419, -0.419, -0.419, -0.419, -0.419
zonal_topography_index_bike, -0.44, -0.542, -0.542, -0.558, -0.558, -0.558, -0.558, -0.558, -0.558, -0.558
zonal_topography_index_transit, -0.048, -0.06, -0.06, -0.061, -0.061, -0.061, -0.061, -0.061, -0.061, -0.061
zonal_density_index_destination_walk_bike_transit, 0.004, 0.005, 0.005, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006
zonal_density_index_origin_walk_bike_walk-transit, 0.013, 0.016, 0.016, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017
hhsize1_shared-ride, -0.735, -0.735, -0.735, -0.735, -0.735, -0.735, -0.735, -0.735, -0.735, -0.735
itc_drive-along_walk, -0.84, -1.058, -71.898, -, -1.477, -1.344, -1.299, -1.808, -1.551, -1.787
itc_shared-ride-2_shared-ride-2, 0.015, 0.43, -1.933, 0.353, 1.376, 0.997, 0.857, 0.566, 0.748, 2.282
itc_shared-ride-2_walk, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112
itc_shared-ride-3p_shared-ride-2, -1.196, -0.312, -2.741, -0.268, -0.078, -0.318, -0.296, -0.156, -0.614, 1.039
itc_shared-ride-3p_shared-ride-3p, -0.184, 0.629, -1.772, 0.736, 1.34, 1.332, 0.953, 0.833, 0.74, 2.413
itc_shared-ride-3p_walk, 0.217, 1.679, -1.213, -1.008, -0.508, -0.043, 0.042, -0.313, -0.527, 0.81
itc_bike_walk, -1.833, -0.34, -2.033, -13.52, -1.025, -2.699, -0.571, -13.238, -1.358, -5.053
itc_transit_light-rail, 0.462, 1.444, 1.444, 0.525, 0.539, 0.539, 0.539, 0.539, 0.539, 0.539
itc_transit_ferry, 0.528, 1.724, 1.724, 0.6, 0.647, 0.647, 0.647, 0.647, 0.647, 0.647
itc_transit_express-bus, -0.355, 0.322, 0.322, 0.755, 0.665, 0.665, 0.665, 0.665, 0.665, 0.665
itc_transit_heavy-rail, 0.354, 0.849, 0.849, 0.567, 0.54, 0.54, 0.54, 0.54, 0.54, 0.54
itc_transit_commuter-rail, 0.401, 0.908, 0.908, 0.544, 0.513, 0.513, 0.513, 0.513, 0.513, 0.513
itc_transit_shared-ride-2, -3.663, -4.005, -4.296, -2.628, -4.011, -3.143, -34.675, -3.366, -2.759, -22.659
itc_transit_shared-ride-3p, -4.131, -28.697, -3.866, -3.207, -4.385, -3.852, -29.386, -21.631, -2.513, -35.958
itc_transit_walk, 0.443, -1.031, -1.183, -0.997, -0.194, 1.35, 0.725, -0.765, -0.5, 0.517,
itc_transit_walk-express, -0.279, -0.279, -0.279, -0.279, -0.279, -0.279, -0.279, -0.279, -0.279, -0.279

