coefficient_name,value,constrain
coef_nest_root,1,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_DRIVEACCESS,0.5,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
coef_ivt_school_univ,-0.0224,F
coef_ivt_work,-0.0134,F
coef_ivt_atwork,-0.0188,F
coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15,F
coef_topology_walk_multiplier_atwork,7.5,F
coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20,F
coef_topology_bike_multiplier_atwork,10,F
coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F
coef_topology_trn_multiplier_atwork,2,F
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,F
coef_age1619_da_multiplier_school_univ,-1.3813,F
coef_age1619_da_multiplier_atwork,0.0032336,F
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,F
coef_age010_trn_multiplier_school_univ,-1.5548,F
coef_age010_trn_multiplier_atwork,0.000722,F
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
coef_age16p_sr_multiplier_school_univ_work_atwork,0,F
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0,F
coef_hhsize1_sr_multiplier_work,-0.734588,F
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0,F
coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
walk_ASC_no_auto_eatout,3.362492298,F
walk_ASC_no_auto_escort,1.038581798,F
walk_ASC_no_auto_othdiscr,1.503969598,F
walk_ASC_no_auto_othmaint,-0.475326002,F
walk_ASC_no_auto_school,18.414557,F
walk_ASC_no_auto_shopping,0.614252298,F
walk_ASC_no_auto_social,0.105466498,F
walk_ASC_no_auto_univ,6.252541797,F
walk_ASC_no_auto_work,4.112695876,F
walk_ASC_no_auto_atwork,4.906587998,F
walk_ASC_auto_deficient_eatout,1.511979998,F
walk_ASC_auto_deficient_escort,-2.664671562,F
walk_ASC_auto_deficient_othdiscr,0.486782498,F
walk_ASC_auto_deficient_othmaint,-0.393584602,F
walk_ASC_auto_deficient_school,3.2573624,F
walk_ASC_auto_deficient_shopping,0.507548298,F
walk_ASC_auto_deficient_social,1.107558998,F
walk_ASC_auto_deficient_univ,4.349484797,F
walk_ASC_auto_deficient_work,0.746521876,F
walk_ASC_auto_deficient_atwork,-0.837164072,F
walk_ASC_auto_sufficient_eatout,-0.210934702,F
walk_ASC_auto_sufficient_escort,-2.574231602,F
walk_ASC_auto_sufficient_othdiscr,-0.499277402,F
